family_name_kana,first_name_kana,family_name_kana,first_name_kana,sex,email,password
鈴木,哲也,スズキ,テツヤ,1,4V3c7@test.com,password123
佐藤,雅之,サトウ,マサユキ,1,AwiEw@test.com,password123
佐藤,章,サトウ,アキラ,1,EyFbm@test.com,password123
伊藤,真,イトウ,マコト,1,4rfnf@test.com,password123
佐藤,勝彦,サトウ,カツヒコ,1,weVUf@test.com,password123
山本,正和,ヤマモト,マサカズ,1,8nE4F@test.com,password123
山本,弘明,ヤマモト,ヒロアキ,1,hjccr@test.com,password123
石田,裕一,イシダ,ユウイチ,1,8W4VM@test.com,password123
佐野,洋,サノ,ヒロシ,1,xT722@test.com,password123
村田,武,ムラタ,タケシ,1,S8XKQ@test.com,password123
石田,充,イシダ,ミツル,1,Q3xfC@test.com,password123
伊藤,淳二,イトウ,ジュンジ,1,ZxLGJ@test.com,password123
高橋,麻衣,タカハシ,マイ,2,iZ7LD@test.com,password123
佐藤,茜,サトウ,アカネ,2,LfpEU@test.com,password123
田中,美和,タナカ,ミワ,2,RStVJ@test.com,password123
清水,明子,シミズ,アキコ,2,yEfRK@test.com,password123
金子,美香,カネコ,ミカ,2,x65cW@test.com,password123
山田,慶子,ヤマダ,ケイコ,2,DMHpz@test.com,password123
佐藤,佐和子,サトウ,サワコ,2,Rwi25@test.com,password123
松尾,美香,マツオ,ミカ,2,wJ5V6@test.com,password123
牧野,智子,マキノ,トモコ,2,pxJ6S@test.com,password123
近藤,奈々,コンドウ,ナナ,2,LNDDa@test.com,password123
今井,朋美,イマイ,トモミ,2,wbYVK@test.com,password123
宮田,薫,ミヤタ,カオル,2,npYAi@test.com,password123
