family_name_kana,first_name_kana,family_name_kana,first_name_kana,sex,email,password
鈴木,哲也,すずき,てつや,1,4V3c7@test.com,password123
佐藤,雅之,さとう,まさゆき,1,AwiEw@test.com,password123
佐藤,章,さとう,あきら,1,EyFbm@test.com,password123
伊藤,真,いとう,まこと,1,4rfnf@test.com,password123
佐藤,勝彦,さとう,かつひこ,1,weVUf@test.com,password123
山本,正和,やまもと,まさかず,1,8nE4F@test.com,password123
山本,弘明,やまもと,ひろあき,1,hjccr@test.com,password123
石田,裕一,いしだ,ゆういち,1,8W4VM@test.com,password123
佐野,洋,さの,ひろし,1,xT722@test.com,password123
村田,武,むらた,たけし,1,S8XKQ@test.com,password123
石田,充,いしだ,みつる,1,Q3xfC@test.com,password123
伊藤,淳二,いとう,じゅんじ,1,ZxLGJ@test.com,password123
高橋,麻衣,たかはし,まい,2,iZ7LD@test.com,password123
佐藤,茜,さとう,あかね,2,LfpEU@test.com,password123
田中,美和,たなか,みわ,2,RStVJ@test.com,password123
清水,明子,しみず,あきこ,2,yEfRK@test.com,password123
金子,美香,かねこ,みか,2,x65cW@test.com,password123
山田,慶子,やまだ,けいこ,2,DMHpz@test.com,password123
佐藤,佐和子,さとう,さわこ,2,Rwi25@test.com,password123
松尾,美香,まつお,みか,2,wJ5V6@test.com,password123
牧野,智子,まきの,ともこ,2,pxJ6S@test.com,password123
近藤,奈々,こんどう,なな,2,LNDDa@test.com,password123
今井,朋美,いまい,ともみ,2,wbYVK@test.com,password123
宮田,薫,みやた,かおる,2,npYAi@test.com,password123
